tune,width,bass
/DEMOS/M-R/Outerversal_2SID.sid,40,
/MUSICIANS/A/A-Man/Phat_Frog_2SID.sid,80,
/MUSICIANS/B/Booker/Icu_2SID.sid,,-6.0
/MUSICIANS/B/Booker/Stereo_Pendejo_2SID.sid,40,
/MUSICIANS/C/Cadaver/Simple_2SID.sid,40,
/MUSICIANS/C/Cadaver/Stereotest_2SID.sid,100,
/MUSICIANS/C/Chiummo_Gaetano/A_Childhood_Dream_2SID.sid,40,
/MUSICIANS/C/Chiummo_Gaetano/Calming_Stream_2SID.sid,,+7.5
/MUSICIANS/C/Crowley_Owen/*_2SID.sid,,-4.0
/MUSICIANS/C/Crowley_Owen/Worktunes/*_2SID.sid,,-4.0
/MUSICIANS/C/Crowley_Owen/Worktunes/Numbers_2SID.sid,60,
/MUSICIANS/D/D_V/Take_Away_Food_2SID.sid,40,
/MUSICIANS/D/Data/*_2SID.sid,60,-4.0
/MUSICIANS/E/Et1999cc/Overdrive-Title_Theme_2SID.sid,,-3.0
/MUSICIANS/E/Et1999cc/Talking_in_Your_Sleep_2SID.sid,,-3.0
/MUSICIANS/G/GI-Joe/Miomodo_2SID.sid,100,
/MUSICIANS/G/GI-Joe/Small_House_Beat_2SID.sid,100,
/MUSICIANS/H/Hannula_Antti/Electric_City_2SID.sid,20,-2.0
/MUSICIANS/H/Hannula_Antti/Onward_Ride_C64_remix_2SID.sid,100,-2.0
/MUSICIANS/H/Hannula_Antti/Sad_Song_2SID.sid,,+3.0
/MUSICIANS/H/Hermit/E_G_Blues_2SID.sid,40,
/MUSICIANS/H/Hermit/Song_of_the_Second_Moon_Delta_2SID.sid,40,-2.0
/MUSICIANS/H/Hoffmann_Michal/Dubsteps_Passe_2SID.sid,40,-3.0
/MUSICIANS/H/Hoffmann_Michal/Nie_Ogolilem_Intencjonalnie_Rowa_2SID.sid,,-3.0
/MUSICIANS/H/Hoffmann_Michal/Songs_about_Poland_Sell_Records_2SID.sid,,-6.0
/MUSICIANS/J/Jammer/Antipop_2SID.sid,80,
/MUSICIANS/J/Jammer/Boileroom_2SID.sid,80,
/MUSICIANS/J/Jammer/Crank_Powered_Async_Loader_2SID.sid,100,
/MUSICIANS/J/Jammer/Crank_Powered_Async_Loader_V2_2SID.sid,100,
/MUSICIANS/J/Jammer/Gliding_Gladly_2SID.sid,30,
/MUSICIANS/J/Jammer/Meat_Hook_2SID.sid,100,
