folder,name,status,fltCap,flt0Dac,fltGain,fltSat,resonance,waveDC,extInDC,bias,cwsLevel,leakage,exceptions
/MUSICIANS/0-9/20CC/,20th Century Composers,,,0.6,1,,,,,,strong,,
/MUSICIANS/0-9/20CC/Paul_Falco/,Falco Paul,,,,,,,,,,,,
/MUSICIANS/0-9/20CC/van_Santen_Edwin/,Edwin van Santen,,,0.6,1,,,,,,strong,,
/MUSICIANS/A/AMJ/,Juha-Matti Hilpinen,,,,,,,,,,strong+,,
/MUSICIANS/A/Abbott_Chris/,Chris Abbott,,old,0.7,,,,,,,,,
/MUSICIANS/A/Abynx/,David Sturgeon (Abynx),,old,,,,,,,,,,
/MUSICIANS/B/Barrett_Steve/,Steve Barrett,,old,0.5,,,,,0.8,,strong,,Pulse_Warrior#1 = Steve Barrett (digi+)
/MUSICIANS/B/Barrett_Steve_/,Steve Barrett (digi+),,old,0.5,,,,,1.15,,strong,,
/MUSICIANS/B/Beben_Wally/,Wally Beben,,old,,,,,,,,,,"Winter_Olympiad_88#3 = Adam Gilmore; Winter_Olympiad_88#4,5 = Steve Barrett"
/MUSICIANS/B/Bjerregaard_Johannes/,Johannes Bjerregaard,,,0.1,,,,,1.1,,,,Stormlord#1 = Jeroen Tel
/MUSICIANS/B/Blues_Muz/Gallefoss_Glenn/,Glenn Rune Gallefoos,,,,,,,,1.1,,,,
/MUSICIANS/B/Brandt_Georg/,Georg Brandt,,,,,,,,1.1,,,,
/MUSICIANS/B/Brennan_Neil/,Neil Brennan,,old,0.5,,,,,,,,,
/MUSICIANS/B/Brooke_Jason/,Jason C. Brooke,,old,0.7,,,,,,,,,
/MUSICIANS/C/Cannon_Matthew/,Matthew Cannon,,,0.3,,,,,,,,,
/MUSICIANS/C/Clarke_Peter/,Peter Clarke,,,0.25,,,,,,,,,
/MUSICIANS/C/Clever_Music/,Clever Music,,old,0.7,1,,,,,,,,
/MUSICIANS/C/Cooksey_Mark/,Mark Cooksey,,old,0.6,,,,,,,,,
/MUSICIANS/C/Crowther_Antony/,Antony Crowther (Ratt),,,0.4,0.8,,,,,,,,
/MUSICIANS/D/DRAX/,Thomas Mogensen (DRAX),,old,0.7,1,,,,,,strong+,,
/MUSICIANS/D/Daglish_Ben/,Ben Daglish,,,,,,,,,,strong,,"Last_Ninja#1,2,4,5,9 = Anthony Lees"
/MUSICIANS/D/Deek/,Richard Rinn (Deek),,,0.5,0.75,,,,,,,,
/MUSICIANS/D/Deenen_Charles/,Charles Deenen,,,,,,,,1.15,,,,
/MUSICIANS/D/Derrett_Jay/,Jay Derret,,,,,,,,1.15,,,,
/MUSICIANS/D/Dunn_David/,David Dunn,,old,,,,,,,,strong,,
/MUSICIANS/D/Dunn_Jonathan/,Jonathan Dunn,,,0.7,0.75,,,,,,strong,,
/MUSICIANS/F/FAME/,F.A.M.E.,,,0.5,0.75,,,,0.8,,,,
/MUSICIANS/F/FAME/Hendriks_Michael/,Michael Hendriks,,,0.5,0.75,,,,0.8,,,,
/MUSICIANS/F/FAME/Knipping_Holger/,Holger Knipping,,,0.5,0.75,,,,0.8,,,,
/MUSICIANS/F/Feekzoid/,Paul Hannay (Feekzoid),,,,,,,,,,,,
/MUSICIANS/F/Feil_Georg/,Georg Feil,,old,0.7,,,,,,,,,
/MUSICIANS/F/Follin_Geoff,Geoff Follin,,,0.5,,,,,,,strong+,,
/MUSICIANS/F/Follin_Tim,Tim Follin,,,0.5,,,,,,,strong+,,
/MUSICIANS/F/Furniss_Matt/,Matt Furniss,,,0.45,1,,,,,,,,
/MUSICIANS/F/Future_Freak/,Kim Christensen (Future Freak),,,0.3,,,,,1.1,,,,
/MUSICIANS/G/Galway_Martin/,Martin Galway,approved,,,0.84,0.25,0.85,,1.1,,,,
/MUSICIANS/G/Gehrmann_Holger/,Holger Gehrmann,,,0.5,,,,,,,strong,,
/MUSICIANS/G/Gilmore_Adam/,Adam Gilmore,,,,,,,,0.9,,strong,,
/MUSICIANS/G/Gray_Fred/,Fred Gray,,old,,,,,0.3,,0.5,,,
/MUSICIANS/G/Gray_Matt/,Matt Gray,approved,,0.3,,,,,0.8,,,,
/MUSICIANS/G/Grieve_Nigel/,Nigel Grieve,,,0.6,1,,,,,,,,
/MUSICIANS/G/Griff/,Péter Varga,,,,0.75,,,,,,strong+,,
/MUSICIANS/H/Hartwig_Stefan/,Stefan Hartwig,,,0.25,,,,,,,,,
/MUSICIANS/H/Hubbard_Rob/,Rob Hubbard,,,,1,,,,0.8,,,,BMX_Kidz#4=Jori Olkkonen (Yip)
/MUSICIANS/H/Huelsbeck_Chris/,Chris Hülsbeck,approved,,0.7,,,,,,0.5,strong,,"R-Type#4-8,10,12-14 = Ramiro Vaca; Spherical#2-5,7 = Ramiro Vaca; Circus_Attractions#1 = Ramiro Vaca"
/MUSICIANS/J/JCH/,Jens-Christian Huus,,old,0.7,0.8,,,,1.1,,,,
/MUSICIANS/J/Joseph_Richard/,Richard Joseph,,,0.35,1,,,,,,,,
/MUSICIANS/L/LMan/,Markus Klein (LMan),,,0.3,0.8,,,,,,,,
/MUSICIANS/L/Laxity/,Laxity,,,,,,,,,,,,
/MUSICIANS/L/Lees_Anthony/,Anthony Lees,,,,,,,,,,strong,,
/MUSICIANS/L/Leitch_Barry/,Barry Leitch (The Jackal),,,,,,,,,,,,
/MUSICIANS/L/Lft/,Linus Åkesson (lft),,old,0.6,,,,,,,,,
/MUSICIANS/L/Lieblich_Russell/,Russell Lieblich,,,,,,,,,,,,
/MUSICIANS/M/Mad_Donne_Marcel/,Marcel Donné,,old,0.6,0.8,,,,,,,,
/MUSICIANS/M/Mahoney/,Pex Tufvesson,,,0.3,,,,,,,,,
/MUSICIANS/M/Mitch_and_Dane/,Mitch & Dane,,,0.35,0.95,,,,,,,,
/MUSICIANS/M/Mitch_and_Dane/Dane/,Stellan Andersson (Dane),,,0.35,0.95,,,,,,,,
/MUSICIANS/M/Mitch_and_Dane/Mitch/,Michael Nilsson-Vonderburgh (Mitch),,,0.35,0.95,,,,,,,,
/MUSICIANS/M/Mixer/,Jouni Ikonen (Mixer),,,,0.8,,,,,,strong+,,
/MUSICIANS/M/Moppe/,Frederik Segerfalk,,,,,,,,,,,,
/MUSICIANS/M/Mueller_Markus/,Markus Müller,,,0.35,0.75,,,,,,,,Warrior#2-8 = Péter Varga
/MUSICIANS/O/Ouwehand_Reyn/,Reyn Ouwehand,approved,old,0.7,,,,,0.85,,,,Last_Ninja_Remix#1 = Anthony Lees
