tune,mode,comment
/DEMOS/A-F/Catalysis.sid,none,
/DEMOS/A-F/Dragons_Lair_Demo.sid,none,
/DEMOS/A-F/Fugue_2026.sid,none,
/DEMOS/A-F/Future_Spy.sid,none,
/DEMOS/Commodore/SX-64_Demo.sid,none,
/DEMOS/G-L/HBFS.sid,output,"plays 2 digis (voice1+2 = delayed, voice3 = vocals)"
/DEMOS/M-R/Party_Songs.sid,none,
/DEMOS/S-Z/Sledged.sid,none,
/DEMOS/S-Z/Trumpet_Fiesta.sid,none,
/GAMES/A-F/Big_Ben.sid,none,pitch-sweep FX
/GAMES/A-F/Davy-King_of_the_Wild_Frontier.sid,covox,
/GAMES/M-R/Out_on_a_Limb.sid,covox,speech in all subtunes but the first
/GAMES/S-Z/Windwalker.sid,none,pitch-sweep FX
/MUSICIANS/A/Andy/Justinblue_tune_6.sid,output3x,
/MUSICIANS/B/Beyond_Reproach/Super_Carling_the_Spider_credits.sid,output2x,
/MUSICIANS/D/Danko_Tomas/Peniz.sid,none,bad rip carrying a digi player that never runs
/MUSICIANS/D/Danko_Tomas/Randomixx_2.sid,none,bad rip carrying a digi player that never runs
/MUSICIANS/D/Data/Busty_Cactus.sid,output,
/MUSICIANS/D/Deetsay/1_2_3_C64.sid,freq3,
/MUSICIANS/D/Deetsay/Asmlook.sid,freq3,
/MUSICIANS/D/Deetsay/Raveloop14_xm.sid,freq1,
/MUSICIANS/D/Deutsch_Matthias/Ice_Guys.sid,voice3Out,digis in the first two subtunes
/MUSICIANS/E/Encore/Fishing_Furiously.sid,freq3,
/MUSICIANS/E/Encore/Spread_Eagle_Idaho.sid,freq3,
/MUSICIANS/J/Jammer/Come_at_Me_Bro.sid,freq3,
/MUSICIANS/J/Jammer/El_Loco_Challenge_intro.sid,freq3,
/MUSICIANS/K/Khugiani_Naveed/Journey_into_Space.sid,mahoney,Mahoney school despite the unused Frodigi code
/MUSICIANS/L/Lft/Platform_Hopping.sid,freq3,
/MUSICIANS/L/Linus/Night_Finds_You.sid,freq3,
/MUSICIANS/L/Linus/SYS64738_Days_Vinyl_Tribute.sid,freq3,
/MUSICIANS/L/Linus/SYS64738_Days.sid,freq3,
/MUSICIANS/M/Magnar/Comaland_tune_3.sid,output,"hard-sync ctrl streams + PCM, the mix IS the digi"
/MUSICIANS/M/Magnar/Star_Wars-Imperial_March_Upbeat.sid,none,multi-speed player
/MUSICIANS/M/Mankeli/Humphrey_Bogart.sid,none,multi-speed player
/MUSICIANS/M/Mankeli/Your_Love.sid,freq2,
/MUSICIANS/M/Matt/Allo_Allo.sid,none,"Master Composer, Lope pulse sweep on all voices"
/MUSICIANS/M/Matt/Fugue_12.sid,none,"Master Composer, Lope pulse sweep on all voices"
/MUSICIANS/M/Matt/Ghostbusters.sid,none,"Master Composer, Lope pulse sweep on all voices"
/MUSICIANS/M/Matt/Marche_Militaire.sid,none,"Master Composer, Lope pulse sweep on all voices"
/MUSICIANS/M/Matt/Tenko.sid,none,"Master Composer, Lope pulse sweep on all voices"
/MUSICIANS/M/Mixer/Jungle.sid,output2x,
/MUSICIANS/M/Mixer/Soundcheck.sid,freq3,
/MUSICIANS/M/Mixer/Synthesis.sid,freq3,
/MUSICIANS/M/Mixer/Tekno.sid,output2x,
/MUSICIANS/M/Mixer/Vicious_SID_2-15638Hz.sid,freq1,
/MUSICIANS/M/Mixer/Vicious_SID_2-Carmina_Burana.sid,carmina,
/MUSICIANS/M/Morton_Adam/Synthmeld.sid,freq1,
/MUSICIANS/N/Norman_Paul/Trivia_Monster.sid,none,"fast modulation, 1984"
/MUSICIANS/R/Red_Kimmel_Jeroen/All_Risks.sid,covox,speech in subtune 4
/MUSICIANS/R/Rosenbaum_Thorsten_and_Thomas/Bullet_in_the_Head.sid,output4x,"voice 2 + 3 tricks beyond the freq latch, the mix IS the digi"
/MUSICIANS/R/Rosenbaum_Thorsten_and_Thomas/Flat_Beat_25_Years_Flat_Eric.sid,output4x,"voice 2 + 3 tricks beyond the freq latch, the mix IS the digi"
/MUSICIANS/S/Sieslack_Joerg/Mission_Egg.sid,none,freq LFO on all three voices
