tune,start,chip,clock,comment
/MUSICIANS/B/Brennan_Neil/Way_of_the_Exploding_Fist.sid,2,,,"Plays the music, not just the digi effect"
/MUSICIANS/B/Brennan_Neil/Fist_II-The_Legend_Continues.sid,2,,,The tune that everybody knows and loves
/MUSICIANS/B/Brennan_Neil/,,6581,PAL,
/MUSICIANS/C/Cooksey_Mark/Paperboy.sid,2,,,"Plays normal speed, not the fast one"
/MUSICIANS/H/Huelsbeck_Chris/Soldier.sid,2,,,First tune seems broken and is not from Huelsbeck
/MUSICIANS/D/Daglish_Ben/Last_Ninja.sid,6,,,The tune that everybody knows and loves
/MUSICIANS/D/Daglish_Ben/William_Wobbler.sid,2,,,Plays title tune
/MUSICIANS/D/Dunn_David/Chiller.sid,2,,,Plays title tune
/MUSICIANS/D/Dunn_David/Chiller_v2.sid,2,,,Plays title tune
/MUSICIANS/D/Dunn_Jonathan/Total_Recall.sid,,6581,,
/MUSICIANS/G/Gray_Fred/Hysteria.sid,3,,,Plays title tune
/MUSICIANS/G/Gray_Fred/Mission_A_D.sid,2,,,Plays title tune
/MUSICIANS/H/Hubbard_Rob/Knucklebusters.sid,1,,,The tune that everybody knows and loves
/MUSICIANS/H/Hubbard_Rob/Casio_Extended.sid,,8580,,Targets 8580 according to https://c64audio.bandcamp.com/track/casio-12-mix
/MUSICIANS/H/Hubbard_Rob/Dont_Step_on_My_Wire.sid,,8580,,Targets 8580 according to https://c64audio.bandcamp.com/track/dont-step-on-my-wire-a-k-a-robs-life
/MUSICIANS/H/Hubbard_Rob/Go_Go_Dash.sid,,8580,,Targets 8580 according to https://c64audio.bandcamp.com/track/go-go-dash
/MUSICIANS/H/Hubbard_Rob/Lakers_vs_Celtics.sid,,8580,,Targets 8580 according to https://c64audio.bandcamp.com/track/lakers-vs-celtics
/MUSICIANS/H/Hubbard_Rob/Lion_Heart.sid,,8580,,Targets 8580 according to https://c64audio.bandcamp.com/track/the-lionheart
/MUSICIANS/H/Hubbard_Rob/Pacific_Coast.sid,,8580,,Targets 8580 according to https://c64audio.bandcamp.com/track/pacific-coast
/MUSICIANS/H/Hubbard_Rob/Radio_ACE.sid,,8580,,Targets 8580 according to https://c64audio.bandcamp.com/track/radio-ace
/MUSICIANS/H/Hubbard_Rob/Robs_Life.sid,,8580,,Targets 8580 according to https://c64audio.bandcamp.com/track/dont-step-on-my-wire-a-k-a-robs-life
/MUSICIANS/H/Hubbard_Rob/Sun_Never_Shines.sid,,8580,,Targets 8580 according to https://c64audio.bandcamp.com/track/the-sun-never-shines
/MUSICIANS/H/Hubbard_Rob/Task_Force.sid,,8580,,Targets 8580 according to https://c64audio.bandcamp.com/track/task-force
/MUSICIANS/T/Tel_Jeroen/Dan_Dare_3.sid,,6581,PAL,
/MUSICIANS/T/Tel_Jeroen/,,,PAL,
/MUSICIANS/V/Vaca_Ramiro/,,6581,PAL,
/MUSICIANS/W/Whittaker_David/Beyond_the_Ice_Palace.sid,1,,,Plays title tune
/MUSICIANS/W/Whittaker_David/BraveStarr.sid,1,,,Plays title tune
/MUSICIANS/W/Whittaker_David/Hocus_Focus.sid,4,,,
/MUSICIANS/W/Whittaker_David/IO.sid,1,,,Plays title tune
/MUSICIANS/W/Whittaker_David/Quartet.sid,4,,,Plays title tune
/MUSICIANS/W/Whittaker_David/Triple_Tournament.sid,3,,,
/MUSICIANS/F/Follin_Tim/Agent_X_II_The_Mad_Profs_Back.sid,1,,,
/MUSICIANS/L/Lft/Computational_Soup_2KB.sid,,8580,,
