section,verb,keys
playback,togglePlay,Space
playback,likePlaying,Alt+Shift+B
playback,toggleShuffle,Ctrl+S
playback,cycleRepeat,Ctrl+R
playback,previousTrack,Ctrl+Left
playback,nextTrack,Ctrl+Right
playback,seekBack,Shift+Left
playback,seekForward,Shift+Right
playback,volumeUp,Ctrl+Up
playback,volumeDown,Ctrl+Down
playback,toggleMute,Ctrl+M
playback,toggleQuality,Ctrl+E
navigation,focusSearch,Ctrl+L|Ctrl+F
navigation,showLiked,Alt+Shift+S
navigation,jumpToPlaying,Alt+Shift+J
navigation,showPlaylists,Alt+Shift+1
navigation,showSettings,Ctrl+,
navigation,showShortcuts,?|Ctrl+/
edit,newPlaylist,Ctrl+N
edit,undo,Ctrl+Z
view,toggleFullscreen,F11|Alt+Enter
