folder,name,initials
/MUSICIANS/A/Agemixer/,Ari Yliaho,AY
/MUSICIANS/A/Ajitek/,Alex Iadicicco,AI
/MUSICIANS/A/Almered_Per/,Per Almered,PA
/MUSICIANS/A/Ames_John/,John Ames,JA
/MUSICIANS/A/Artlace/,Artúr Bujdosó,AB
/MUSICIANS/A/Ashrilyn/,Justin Blase,JB
/MUSICIANS/A/Audial_Arts/Pasch_Ronny/,Ronny Pasch,RP
/MUSICIANS/B/Baldwin_Neil/,Neil Baldwin,NB
/MUSICIANS/B/Bayliss_Richard/,Richard Bayliss,RB
/MUSICIANS/B/Behdad_Arman/,Arman Behdad,AB
/MUSICIANS/B/Benedens_Oliver/,Oliver Benedens,OB
/MUSICIANS/B/Biasillo_Gary/,Gary Biasillo,GB
/MUSICIANS/B/Bjerregaard_Johannes/,Johannes Bjerregaard,
/MUSICIANS/B/Blues_Muz/Gallefoss_Glenn/,Glenn Rune Gallefoss,GRG
/MUSICIANS/B/Blues_Muz/Nordboe_Kjell/,Kjell Nordboe,KN
/MUSICIANS/B/Blues_Muz/Roestoeen_Kristian/,Kristian Røstøen,KR
/MUSICIANS/B/BOGG/,Graham Marsh,BOGG
/MUSICIANS/B/Booker/,Marcin Kubica,MK
/MUSICIANS/B/Brennan_Neil/,Neil Brennan,NB
/MUSICIANS/B/Brimble_Allister/,Allister Brimble,AB
/MUSICIANS/B/Brooke_Jason/,Jason Brooke,JB
/MUSICIANS/B/Bzyk/,Piotr Baczkiewicz,PB
/MUSICIANS/C/Cannon_Matthew/,Matthew Cannon,MC
/MUSICIANS/C/Chiummo_Aldo/,Aldo Chiummo,AC
/MUSICIANS/C/Chiummo_Gaetano/,Gaetano Chiummo,GC
/MUSICIANS/C/Clarke_Peter/,Peter Clarke,PC
/MUSICIANS/C/Cooksey_Mark/,Mark Cooksey,MC
/MUSICIANS/C/CreaMD/,Roman Chlebec,RC
/MUSICIANS/C/Cross_Saul/,Saul Cross,SC
/MUSICIANS/C/Crowley_Owen/,Owen Crowley,OC
/MUSICIANS/C/Cube/,Toni Lönnberg,TL
/MUSICIANS/D/Daglish_Ben/,Ben Daglish,BD
/MUSICIANS/D/Dalezy/,Ronny Engmann,RE
/MUSICIANS/D/Danko_Tomas/,Tomas Danko,TD
/MUSICIANS/D/Deek/,Richard Rinn,RR
/MUSICIANS/D/Deenen_Charles/,Charles Deenen,CD
/MUSICIANS/D/Detert_Thomas/,Thomas Detert,TD
/MUSICIANS/D/Donne_Marcel/,Marcel Donné,
/MUSICIANS/D/DRAX/,Thomas Mogensen,DRAX
/MUSICIANS/D/Dunn_David/,David Dunn,JD
/MUSICIANS/D/Dunn_Jonathan/,Jonathan Dunn,
/MUSICIANS/E/ELA/,Eric Ardem,ELA
/MUSICIANS/F/Fame/Hendriks_Michael/,Michael Hendriks,MH
/MUSICIANS/F/Fanta/,Alexander Rotzsch,AR
/MUSICIANS/F/FCS/,Juha Granberg,FCS
/MUSICIANS/F/Feil_Georg/,Georg Feil,GF
/MUSICIANS/F/Ferrara/,Toni Cavén,TC
/MUSICIANS/F/Follin_Geoff/,Geoff Follin,GF
/MUSICIANS/F/Follin_Tim/,Tim Follin,TF
/MUSICIANS/G/Galancy/,Jari Ukkola,JU
/MUSICIANS/G/Galway_Martin/,Martin Galway,MG
/MUSICIANS/G/Gantar_Peter/,Peter Gantar,PG
/MUSICIANS/G/Gehrmann_Holger/,Holger Gehrmann,HG
/MUSICIANS/G/Geijer_Leif/,Leif Geijer,LG
/MUSICIANS/G/Gilmore_Adam/,Adam Gilmore,AG
/MUSICIANS/G/Gray_Fred/,Fred Gray,FG
/MUSICIANS/G/Gray_Matt/,Matt Gray,MDG
/MUSICIANS/H/Hannula_Antti/,Antti Hannula,AH
/MUSICIANS/H/Hartwig_Stefan/,Stefan Hartwig,
/MUSICIANS/H/Hermit/,Mihály Horváth,MH
/MUSICIANS/H/Highway_Guy/,Liam Fay,LF
/MUSICIANS/H/Hoernell_Karl/,Karl Hörnell,KH
/MUSICIANS/H/Hoffmann_Michal/,Michal Hoffmann,MH
